Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio
Surya Roshni Ltd,SURYAROSNI,Iron & Steel,2076.275563,387.3,20.54860617
Subros Ltd,SUBROS,Auto Parts,2062.754415,316.2,24.31919848
Prime Focus Ltd,PFOCUS,Animation,2049.855499,68.5,-15.58608429
MSTC Ltd,MSTCLTD,Commodities Trading,2036.672,289.3,20.99445418
Agro Tech Foods Ltd,ATFL,Packaged Foods & Meats,2012.977101,849.9,61.22210308
Karnataka Bank Ltd,KTKBANK,Private Banks,1995.783403,64.2,4.622325615
Repco Home Finance Ltd,REPCOHOME,Consumer Finance,1980.067107,316.5,6.641400373
Ahluwalia Contracts (India) Ltd,AHLUCONT,Construction & Engineering,1973.11858,294.55,30.63848726
Jaiprakash Associates Ltd,JPASSOCIAT,Conglomerates,1967.611361,8.05,1.787118496
Kirloskar Brothers Ltd,KIRLOSBROS,Industrial Machinery,1958.62116,246.65,27.23711806
Somany Ceramics Ltd,SOMANYCERA,Building Products - Ceramics,1925.721117,454.4,128.3814078
JBM Auto Ltd,JBMA,Auto Parts,1923.644352,406.7,25.87974433
Jammu and Kashmir Bank Ltd,J&KBANK,Private Banks,1922.750278,26.95,-1.446994036
Gujarat Mineral Development Corporation Ltd,GMDCLTD,Mining - Diversified,1912.77,60.15,9.373107267
Dishman Carbogen Amcis Ltd,DCAL,Labs & Life Sciences Services,1897.07545,121,10.67918508
ADF Foods Ltd,ADFFOODS,Packaged Foods & Meats,1892.046832,944.95,47.66665535
Pilani Investment And Industries Corporation Ltd,PILANIINVS,Asset Management,1890.420604,1707.35,10.80541355
Himadri Speciality Chemical Ltd,HSCL,Commodity Chemicals,1885.343751,45,9.168465624
Maharashtra Seamless Ltd,MAHSEAMLES,Building Products - Pipes,1884.029483,281.2,22.46368765
Action Construction Equipment Ltd,ACE,Heavy Machinery,1871.337902,164.9,36.24756354
Hester Biosciences Ltd,HESTERBIO,Biotechnology,1871.170025,2199.6,64.14706978
Camlin Fine Sciences Ltd,CAMLINFINE,Specialty Chemicals,1866.577615,146.4,58.5281405
Navneet Education Ltd,NAVNETEDUL,Publishing,1866.438928,81.55,9.462781016
Tinplate Company of India Ltd,TINPLATE,Iron & Steel,1858.897251,177.6,19.58347175
HG Infra Engineering Ltd (Part IX),HGINFRA,Construction & Engineering,1854.443964,284.55,11.13111606
Kolte-Patil Developers Ltd,KOLTEPATIL,Real Estate,1852.227447,243.7,25.51946592
Mayur Uniquoters Ltd,MAYURUNIQ,Textiles,1851.08484,415.25,23.595695
Ge Power India Ltd,GEPIL,Construction & Engineering,1839.007469,273.55,21.73767694
Sagar Cements Ltd,SAGCEM,Cement,1832.4125,779.75,62.29096078
Dish TV India Ltd,DISHTV,Cable & D2H,1822.874639,9.9,-1.112288972
INEOS Styrolution India Ltd,INEOSSTYRO,Commodity Chemicals,1814.924428,1032.05,-190.4432768
South Indian Bank Ltd,SOUTHBANK,Private Banks,1810.220981,8.65,14.96551014
Olectra Greentech Ltd,OLECTRA,Electrical Components & Equipments,1804.134599,219.8,131.1501552
Ramco Systems Ltd,RAMCOSYS,IT Services & Consulting,1800.766628,586.3,178.0601702
Apar Industries Ltd,APARINDS,Electrical Components & Equipments,1793.458829,468.65,13.27013562
Shriram Pistons & Rings Ltd,SHRIPISTON,Auto Parts,1790.104835,800.05,24.50855469
S H Kelkar and Company Ltd,SHK,Specialty Chemicals,1785.905974,129.4,51.83642939
DFM Foods Ltd,DFMFOODS,Packaged Foods & Meats,1780.845924,354.25,72.68998204
PDS Multinational Fashions Ltd,PDSMFL,Apparel & Accessories,1767.400457,678.55,38.40505122
Ramkrishna Forgings Ltd,RKFORGE,Rail,1765.493342,554.6,186.4329295
Thomas Cook (India) Ltd,THOMASCOOK,Tour & Travel Services,1760.012396,47.45,-4086.285951
Amrutanjan Health Care Ltd,AMRUTANJAN,Pharmaceuticals,1748.556864,598.55,69.76073998
Garware Polyester Ltd,GARWARPOLY,,1744.17198,750.75,20.0617895
Morepen Laboratories Ltd,MOREPENLAB,Pharmaceuticals,1740.827406,38.7,51.83739415
TV Today Network Ltd,TVTODAY,TV Channels & Broadcasters,1737.848412,291.25,12.46774754
Arvind Ltd,ARVIND,Apparel & Accessories,1737.380503,67.1,18.14772422
ICICI Prudential Nifty 50 ETF,ICICINIFTY,Equity,1732.283569,157.67,
ICICI Prudential Gold ETF,ICICIGOLD,Gold,1718.234336,41.48,
HDFC Gold ETF,HDFCMFGETF,Gold,1717.423947,41.51,
Puravankara Ltd,PURVA,Real Estate,1707.477739,72,19.33039049
Kirloskar Pneumatic Company Ltd,KIRLPNU,,1706.939222,265.6,31.88788933
Wardwizard Innovations & Mobility Ltd,WARDINMOBI,,1694.01504,77.2,-330.9223656
Federal-Mogul Goetze (India) Ltd,FMGOETZE,Auto Parts,1681.481129,302.25,51.7378809
Stove Kraft Ltd,STOVEKRAFT,Home Electronics & Appliances,1675.091209,514.65,402.5463149
